File,Line,Index,Context
wiki\1988_State_of_Origin_series.html,344,498,"dth=""117"" data-file-h"
wiki\1988_State_of_Origin_series.html,345,460,"g.png 2x"" data-file-w"
wiki\1988_State_of_Origin_series.html,345,482,"dth=""118"" data-file-h"
wiki\1988_State_of_Origin_series.html,346,476,"g.png 2x"" data-file-w"
wiki\1988_State_of_Origin_series.html,346,498,"dth=""117"" data-file-h"
wiki\1988_State_of_Origin_series.html,350,460,"g.png 2x"" data-file-w"
wiki\1988_State_of_Origin_series.html,350,482,"dth=""118"" data-file-h"
wiki\1988_State_of_Origin_series.html,351,476,"g.png 2x"" data-file-w"
wiki\1988_State_of_Origin_series.html,351,498,"dth=""117"" data-file-h"
wiki\1988_State_of_Origin_series.html,352,460,"g.png 2x"" data-file-w"
wiki\1988_State_of_Origin_series.html,352,482,"dth=""118"" data-file-h"
wiki\1988_State_of_Origin_series.html,356,460,"g.png 2x"" data-file-w"
wiki\1988_State_of_Origin_series.html,356,482,"dth=""117"" data-file-h"
wiki\1988_State_of_Origin_series.html,357,460,"g.png 2x"" data-file-w"
wiki\1988_State_of_Origin_series.html,357,482,"dth=""118"" data-file-h"
wiki\1988_State_of_Origin_series.html,361,460,"g.png 2x"" data-file-w"
wiki\1988_State_of_Origin_series.html,361,482,"dth=""118"" data-file-h"
wiki\1988_State_of_Origin_series.html,365,460,"g.png 2x"" data-file-w"
wiki\1988_State_of_Origin_series.html,365,482,"dth=""117"" data-file-h"
wiki\1988_State_of_Origin_series.html,369,460,"g.png 2x"" data-file-w"
wiki\1988_State_of_Origin_series.html,369,482,"dth=""118"" data-file-h"
wiki\1988_State_of_Origin_series.html,373,492,"g.png 2x"" data-file-w"
wiki\1988_State_of_Origin_series.html,373,514,"dth=""117"" data-file-h"
wiki\1988_State_of_Origin_series.html,377,476,"g.png 2x"" data-file-w"
wiki\1988_State_of_Origin_series.html,377,498,"dth=""117"" data-file-h"
wiki\1988_State_of_Origin_series.html,381,476,"g.png 2x"" data-file-w"
wiki\1988_State_of_Origin_series.html,381,498,"dth=""117"" data-file-h"
wiki\1988_State_of_Origin_series.html,385,524,"g.png 2x"" data-file-w"
wiki\1988_State_of_Origin_series.html,385,546,"dth=""117"" data-file-h"
wiki\1988_State_of_Origin_series.html,386,524,"g.png 2x"" data-file-w"
wiki\1988_State_of_Origin_series.html,386,546,"dth=""117"" data-file-h"
wiki\1988_State_of_Origin_series.html,390,492,"g.png 2x"" data-file-w"
wiki\1988_State_of_Origin_series.html,390,514,"dth=""117"" data-file-h"
wiki\1988_State_of_Origin_series.html,394,516,"g.png 2x"" data-file-w"
wiki\1988_State_of_Origin_series.html,394,538,"dth=""117"" data-file-h"
wiki\1988_State_of_Origin_series.html,395,516,"g.png 2x"" data-file-w"
wiki\1988_State_of_Origin_series.html,395,538,"dth=""117"" data-file-h"
wiki\1988_State_of_Origin_series.html,399,460,"g.png 2x"" data-file-w"
wiki\1988_State_of_Origin_series.html,399,482,"dth=""118"" data-file-h"
wiki\1988_State_of_Origin_series.html,589,40,"inks"" data-mw=""interf"
