File,Line,Index,Context
wiki\C389cole_des_Mines_de_Douai.html,1291,7,Social Sciences<br
wiki\C389cole_des_Mines_de_Douai.html,1304,11,"li>CIREL, Sciences de"
wiki\C389cole_des_Mines_de_Douai.html,1304,71,ersity_of_Science_and
wiki\C389cole_des_Mines_de_Douai.html,1304,122,ersity of Science and
wiki\C389cole_des_Mines_de_Douai.html,1311,25,toire des sciences de
wiki\C389cole_des_Mines_de_Douai.html,1331,10,Political Science<br 
wiki\C389cole_des_Mines_de_Douai.html,1335,170,de Lille (Sciences Po
wiki\C389cole_des_Mines_de_Douai.html,1348,19,atoire de sciences so
wiki\Campus_of_Texas_A26M_University.html,94,66,6M_Health_Science_Cen
wiki\Campus_of_Texas_A26M_University.html,94,160,;M Health Science Cen
wiki\Campus_of_Texas_A26M_University.html,162,78,U_ID_Life_Sciences.JP
wiki\Campus_of_Texas_A26M_University.html,162,188,U_ID_Life_Sciences.JP
wiki\Campus_of_Texas_A26M_University.html,162,220,U_ID_Life_Sciences.JP
wiki\Campus_of_Texas_A26M_University.html,162,351,U_ID_Life_Sciences.JP
wiki\Campus_of_Texas_A26M_University.html,162,383,U_ID_Life_Sciences.JP
wiki\Campus_of_Texas_A26M_University.html,162,467,U_ID_Life_Sciences.JP
wiki\Campus_of_Texas_A26M_University.html,162,499,U_ID_Life_Sciences.JP
wiki\Campus_of_Texas_A26M_University.html,164,54,U_ID_Life_Sciences.JP
wiki\Campus_of_Texas_A26M_University.html,165,23,nary Life Sciences bu
wiki\Campus_of_Texas_A26M_University.html,169,242,"wiki/Life_Sciences"" c"
wiki\Campus_of_Texas_A26M_University.html,169,284,"tle=""Life Sciences"">L"
wiki\Campus_of_Texas_A26M_University.html,169,299,"ces"">Life Sciences</a"
wiki\Campus_of_Texas_A26M_University.html,169,1188,;M Health Science Cen
wiki\Campus_of_Texas_A26M_University.html,173,437,"ollege_of_Science"" ti"
wiki\Campus_of_Texas_A26M_University.html,173,478,"ollege of Science"">Co"
wiki\Campus_of_Texas_A26M_University.html,173,498,ollege of Sciences</a
wiki\Campus_of_Texas_A26M_University.html,173,924,"ege_of_Geosciences"" t"
wiki\Campus_of_Texas_A26M_University.html,173,969,"ege of Geosciences"">C"
wiki\Campus_of_Texas_A26M_University.html,173,993,ege of Geosciences</a
wiki\Campus_of_Texas_A26M_University.html,186,110,"iomedical_Sciences"" t"
wiki\Campus_of_Texas_A26M_University.html,186,189,"iomedical Sciences"">C"
wiki\Campus_of_Texas_A26M_University.html,186,276,6M_Health_Science_Cen
wiki\Campus_of_Texas_A26M_University.html,186,320,;M Health Science Cen
wiki\Campus_of_Texas_A26M_University.html,186,343,"r"">Health Science Cen"
wiki\Campus_of_Texas_A26M_University.html,186,565,"ollege of Sciences, t"
wiki\Campus_of_Texas_A26M_University.html,186,660,"_and_Life_Sciences"" t"
wiki\Campus_of_Texas_A26M_University.html,186,723," and Life Sciences"">C"
wiki\Campus_of_Texas_A26M_University.html,186,765, and Life Sciences</a
wiki\Campus_of_Texas_A26M_University.html,186,1181,e Medical Sciences Li
wiki\Campus_of_Texas_A26M_University.html,256,179,"mospheric sciences, a"
wiki\Campus_of_Texas_A26M_University.html,314,107,6M_Health_Science_Cen
wiki\Campus_of_Texas_A26M_University.html,314,151,;M Health Science Cen
wiki\Campus_of_Texas_A26M_University.html,314,188,;M Health Science Cen
wiki\Campus_of_Texas_A26M_University.html,315,53,6M_Health_Science_Cen
wiki\Campus_of_Texas_A26M_University.html,315,90,;M Health Science Cen
wiki\Campus_of_Texas_A26M_University.html,315,320,;M Health Science Cen
wiki\Campus_of_Texas_A26M_University.html,316,81,6M_Health_Science_Cen
wiki\Campus_of_Texas_A26M_University.html,316,125,;M Health Science Cen
wiki\Campus_of_Texas_A26M_University.html,316,162,;M Health Science Cen
wiki\Campus_of_Texas_A26M_University.html,317,28,;M Health Science cen
wiki\Campus_of_Texas_A26M_University.html,317,116,;M Health Science Cen
wiki\Campus_of_Texas_A26M_University.html,320,42,6M_Health_Science_Cen
wiki\Campus_of_Texas_A26M_University.html,320,106,;M Health Science Cen
wiki\Campus_of_Texas_A26M_University.html,321,42,6M_Health_Science_Cen
wiki\Campus_of_Texas_A26M_University.html,321,87,"iomedical_Sciences"" t"
wiki\Campus_of_Texas_A26M_University.html,321,125,;M Health Science Cen
wiki\Campus_of_Texas_A26M_University.html,321,170,"iomedical Sciences"">G"
wiki\Campus_of_Texas_A26M_University.html,321,210,iomedical Sciences</a
wiki\Campus_of_Texas_A26M_University.html,322,42,6M_Health_Science_Cen
wiki\Campus_of_Texas_A26M_University.html,322,136,;M Health Science Cen
wiki\Campus_of_Texas_A26M_University.html,323,42,6M_Health_Science_Cen
wiki\Campus_of_Texas_A26M_University.html,323,144,;M Health Science Cen
wiki\Campus_of_Texas_A26M_University.html,324,42,6M_Health_Science_Cen
wiki\Campus_of_Texas_A26M_University.html,324,105,;M Health Science Cen
wiki\Campus_of_Texas_A26M_University.html,326,63,ute_of_Biosciences_an
wiki\Campus_of_Texas_A26M_University.html,326,111,ute of Biosciences an
wiki\Campus_of_Texas_A26M_University.html,326,152,ute of Biosciences an
